,"word","type","part_of_speech","comment"
0,"abcd","content","noun","multiple different abbreviations"
1,"accentuates","style","verb",
2,"aceis","content","noun","angiotensin-converting enzyme inhibitors"
3,"achieving","style","verb",
4,"acknowledges","style","verb",
5,"acknowledging","style","verb",
6,"across","style","preposition",
7,"acute","content","adjective","""acute pneumonia"""
8,"additionally","style","adverb",
9,"address","style","verb",
10,"addresses","style","verb",
11,"addressing","style","verb",
12,"adept","style","adjective",
13,"adhered","style","verb",
14,"adhering","style","verb",
15,"adipate","content","noun","adipic acid"
16,"admet","content","noun","absorption, distribution, metabolism, excretion and toxicity"
17,"adrd","content","noun","Alzheimer's disease and related dementias"
18,"advancement","style","noun",
19,"advancements","style","noun",
20,"advancing","style","verb",
21,"adversarial","content","adjective","generative adversarial networks, adversarial examples"
22,"advocates","style","verb",
23,"advocating","style","verb",
24,"aerosolization","content","noun",
25,"affirming","style","verb",
26,"afflicted","style","verb",
27,"agnostic","content","adjective","tumour-agnostic"
28,"aiding","style","verb",
29,"aims","style","verb",
30,"akin","style","adjective",
31,"align","style","verb",
32,"aligning","style","verb",
33,"aligns","style","verb",
34,"alongside","style","preposition",
35,"alphafold","content","noun",
36,"amid","style","preposition",
37,"amidst","style","preposition",
38,"amos","content","noun","multiple different abbreviations"
39,"analysis","style","noun",
40,"angiotensin","content","noun",
41,"announced","style","verb",
42,"anosmia","content","noun",
43,"antiseizure","content","noun",
44,"antiviral","content","adjective",
45,"aotearoa","content","noun","Māori-language name for New Zealand"
46,"apixaban","content","noun","anticoagulant medication used to treat and prevent blood clots"
47,"apologizes","style","verb",
48,"approach","style","noun",
49,"april","content","noun","Covid pandemic spread"
50,"arbovirus","content","noun",
51,"arbs","content","noun","abbreviations including: ARBs, angiotensin receptor antagonists, used to treat high blood pressure and heart failure"
52,"ards","content","noun","abbreviations, ARDS, Acute respiratory distress syndrome"
53,"armonk","other","noun","related to SPSS citations (which is by IBM, whose headquarters are in Armonk)"
54,"aspx","other",,"appears in links, but this is partially artefact of data availability and trial registration statements not being filtered out"
55,"assess","style","verb",
56,"assessed","style","verb",
57,"assessing","style","verb",
58,"assessments","style","noun",
59,"astrazeneca","content","noun",
60,"attains","style","verb",
61,"attr","content","noun","abbreviation for a type of amyloidosis disease"
62,"attributed","style","verb",
63,"augmenting","style","verb",
64,"authorization","content","noun","FDA drug authorization"
65,"authorized","content","verb",
66,"autoencoder","content","noun",
67,"avenue","style","noun",
68,"avenues","style","noun",
69,"background","content/style","noun","can be both"
70,"bacteroidota","content","noun",
71,"based","style","verb",
72,"betacoronavirus","content","noun",
73,"between","style","preposition",
74,"bibliometrix","content","noun","R package"
75,"bioeconomy","content","noun",
76,"bioinspired","content","verb",
77,"biontech","content","noun",
78,"bioorthogonal","content","adjective",
79,"bivariable","content","adjective",
80,"blactx","content","noun",
81,"bolster","style","verb",
82,"bolstered","style","verb",
83,"bolstering","style","verb",
84,"booster","content","noun",
85,"boredom","content","noun",
86,"both","style","pronoun/adverb",
87,"brier","content","noun","some score (MSE for predicted probabilites)"
88,"broader","style","adjective",
89,"browning","content","verb",
90,"burgeoning","style","verb",
91,"businesses","content","noun",
92,"capabilities","style","noun",
93,"capitalizing","style","verb",
94,"carapace","content","noun",
95,"carbapenemase","content","noun",
96,"categorized","style","verb",
97,"categorizes","style","verb",
98,"categorizing","style","verb",
99,"cbioportal","content","noun",
100,"ccle","content","noun","abbreviations, one for a type of lupus and Cancer Cell Line Encyclopedia (CCLE)"
101,"cerna","content","noun","""competing endogenous RNA"""
102,"cfdna","content","noun","cell-free DNA"
103,"cfps","content","noun","various abbreviations"
104,"cgga","content","noun","Chinese Glioma Genome Atlas (CGGA)"
105,"challenge","style","verb",
106,"challenges","style","noun",
